# "Wavelength (A)" "Eff. trans."
5497.6 0.0011160896943761113
5498.3 0.0011218183625089522
5499.0 0.001170358393665202
5499.700000000001 0.0011583627218772366
5500.4 0.001095647622887015
5501.2 0.0011681845643159961
5501.900000000001 0.0012099079593942098
5502.6 0.001120741956545186
5503.3 0.001130015652715868
5504.0 0.001160286343632986
5504.700000000001 0.0011600160698282856
5505.4 0.0011272958184974878
5506.1 0.0011226624437812725
5506.900000000001 0.0011962914388855416
5507.6 0.0011532088039106778
5508.3 0.0011613932555828508
5509.0 0.0011289520384514396
5509.700000000001 0.0011864999536047324
5510.4 0.0011513314352751857
5511.1 0.0011682481097494738
5511.799999999999 0.001157349401267914
5512.5 0.0011679941879315986
5513.3 0.0012130016057601198
5514.0 0.0011680143077400153
5514.700000000001 0.0012482009014932302
5515.4 0.0012323935364612995
5516.1 0.001219858508705429
5516.799999999999 0.001212232206084847
5517.5 0.001123062396405756
5518.200000000001 0.0012171607005878082
5518.9 0.0012310794458249015
5519.6 0.0011997257450433408
5520.4 0.0012564644878456795
5521.1 0.0012458380540675523
5521.799999999999 0.0013061222412635918
5522.5 0.001268222434728658
5523.200000000001 0.0013298714616421794
5523.9 0.00121478570548918
5524.6 0.0012608889663150143
5525.299999999999 0.0013037200307927017
5526.0 0.0013427333260655535
5526.7 0.0012903762794629877
5527.5 0.001316026789055815
5528.200000000001 0.0013062182275784865
5528.9 0.0013247761375190454
5529.6 0.0013414250379011042
5530.299999999999 0.0013946241040194733
5531.0 0.0013755419288963642
5531.7 0.0013957375808568116
5532.4 0.0013613801549427443
5533.099999999999 0.0013938506315275064
5533.8 0.0013944073765228115
5534.5 0.0014421539610534188
5535.299999999999 0.0013344206500405162
5536.0 0.0014326315572448449
5536.7 0.0014566477528109795
5537.4 0.0014863927702820207
5538.099999999999 0.0015183205445551014
5538.8 0.0014405884358202282
5539.5 0.001512889163320859
5540.2 0.001540180465239964
5540.900000000001 0.0015914780451581879
5541.599999999999 0.0015317485491679974
5542.3 0.0015590406600133244
5543.0 0.0016212516359202286
5543.8 0.001589894213389065
5544.5 0.0016720212661739038
5545.2 0.0016540294337882386
5545.900000000001 0.001694418500087045
5546.599999999999 0.0017067086326144716
5547.3 0.001710814552208754
5548.0 0.0017220137501015005
