@x1 0.5
@c 0.2
@z 0.5
@x0 1.20482820761e-05
@t0 55100.0
time band flux fluxerr zp zpsys
55070.0 sdssg 0.36351153597 0.672843847541 25.0 ab
55072.0512821 sdssr -0.200801295864 0.672843847541 25.0 ab
55074.1025641 sdssi 0.307494232981 0.672843847541 25.0 ab
55076.1538462 sdssz 1.08776103656 0.672843847541 25.0 ab
55078.2051282 sdssg -0.43667895645 0.672843847541 25.0 ab
55080.2564103 sdssr 1.09780966779 0.672843847541 25.0 ab
55082.3076923 sdssi 3.7562685627 0.672843847541 25.0 ab
55084.3589744 sdssz 5.34858894966 0.672843847541 25.0 ab
55086.4102564 sdssg 2.82614187269 0.672843847541 25.0 ab
55088.4615385 sdssr 7.56547045054 0.672843847541 25.0 ab
55090.5128205 sdssi 7.43316961013 0.672843847541 25.0 ab
55092.5641026 sdssz 10.7032994531 0.672843847541 25.0 ab
55094.6153846 sdssg 1.57823662148 0.672843847541 25.0 ab
55096.6666667 sdssr 9.4201672834 0.672843847541 25.0 ab
55098.7179487 sdssi 12.1116206376 0.672843847541 25.0 ab
55100.7692308 sdssz 13.6445335233 0.672843847541 25.0 ab
55102.8205128 sdssg 2.20875359735 0.672843847541 25.0 ab
55104.8717949 sdssr 9.63442013167 0.672843847541 25.0 ab
55106.9230769 sdssi 11.3724767104 0.672843847541 25.0 ab
55108.974359 sdssz 12.5739036768 0.672843847541 25.0 ab
55111.025641 sdssg 0.608391162103 0.672843847541 25.0 ab
55113.0769231 sdssr 5.91642855037 0.672843847541 25.0 ab
55115.1282051 sdssi 7.99428156096 0.672843847541 25.0 ab
55117.1794872 sdssz 7.90862755929 0.672843847541 25.0 ab
55119.2307692 sdssg 0.679196211518 0.672843847541 25.0 ab
55121.2820513 sdssr 4.03447329476 0.672843847541 25.0 ab
55123.3333333 sdssi 7.03584281564 0.672843847541 25.0 ab
55125.3846154 sdssz 6.84086374285 0.672843847541 25.0 ab
55127.4358974 sdssg 0.325442801496 0.672843847541 25.0 ab
55129.4871795 sdssr 2.6597485586 0.672843847541 25.0 ab
55131.5384615 sdssi 3.99520404021 0.672843847541 25.0 ab
55133.5897436 sdssz 5.73989458094 0.672843847541 25.0 ab
55135.6410256 sdssg 0.330702283107 0.672843847541 25.0 ab
55137.6923077 sdssr 0.565286726579 0.672843847541 25.0 ab
55139.7435897 sdssi 3.04318346795 0.672843847541 25.0 ab
55141.7948718 sdssz 5.62692686384 0.672843847541 25.0 ab
55143.8461538 sdssg -0.722654789013 0.672843847541 25.0 ab
55145.8974359 sdssr 1.12091764262 0.672843847541 25.0 ab
55147.9487179 sdssi 2.1246695264 0.672843847541 25.0 ab
55150.0 sdssz 5.3482175645 0.672843847541 25.0 ab
