6600   0.0002
6620   0.0007
6640   0.0011
6660   0.0016
6680   0.0024
6700   0.0042
6720   0.0074
6740   0.0121
6760   0.0209
6780   0.0337
6800   0.0518
6820   0.0771
6840   0.1049
6860   0.1367
6880   0.1675
6900   0.2073
6920   0.2516
6940   0.2901
6960   0.3260
6980   0.3593
7000   0.3816
7020   0.4001
7040   0.4148
7060   0.4249
7080   0.4328
7100   0.4384
7120   0.4439
7140   0.4466
7160   0.4298
7180   0.4116
7200   0.4191
7220   0.4264
7240   0.4244
7260   0.4221
7280   0.4198
7300   0.4173
7320   0.4227
7340   0.4279
7360   0.4248
7380   0.4219
7400   0.4195
7420   0.4169
7440   0.4143
7460   0.4117
7480   0.4089
7500   0.4062
7520   0.4035
7540   0.3996
7560   0.3954
7580   0.3846
7600   0.2333
7620   0.2589
7640   0.2440
7660   0.3129
7680   0.3712
7700   0.3674
7720   0.3632
7740   0.3591
7760   0.3549
7780   0.3508
7800   0.3466
7820   0.3426
7840   0.3402
7860   0.3380
7880   0.3359
7900   0.3338
7920   0.3316
7940   0.3294
7960   0.3273
7980   0.3255
8000   0.3239
8020   0.3220
8040   0.3198
8060   0.3174
8080   0.3143
8100   0.3097
8120   0.2959
8140   0.2728
8160   0.2477
8180   0.2133
8200   0.1665
8220   0.1215
8240   0.0784
8260   0.0518
8280   0.0323
8300   0.0190
8320   0.0132
8340   0.0088
8360   0.0058
8380   0.0019
